"CNN","Corridor","Limits","CNNRightLeft","BlockSide","FullName","WeekDay","FromHour","ToHour","Week1","Week2","Week3","Week4","Week5","Holidays","BlockSweepID","Line"
"6652000","Hampshire St","19th St  -  20th St","R","West","Tuesday","Tues","12","14","1","1","1","1","1","0","1646260","LINESTRING (-122.408064123643 37.760601065546, -122.407940024951 37.759305174622)"
"5395000","Fairfield Way","Lakewood Ave  -  Kenwood Way","L","SouthWest","Wed 2nd & 4th","Wed","12","14","0","1","0","1","0","0","1610289","LINESTRING (-122.463577797645 37.727735449622, -122.463884734802 37.728183258213, -122.464070428174 37.728253107187)"
"9099000","Mission St","Mary St  -  06th St","R","NorthWest","Friday","Fri","2","6","1","1","1","1","1","1","1618448","LINESTRING (-122.407254674597 37.782119419193, -122.408708673446 37.780971182971)"
"8342202","Lincoln Way","03rd Ave  -  04th Ave","R","North","Fri 1st & 3rd","Fri","12","14","1","0","1","0","0","0","1639039","LINESTRING (-122.459931488046 37.766348840554, -122.460105100763 37.766297825409, -122.460390831383 37.766231903472, -122.46095556228 37.766208005483, -122.461089543843 37.766161082)"
"6397000","Grant Ave","Jackson St  -  Pacific Ave","L","West","Monday","Mon","2","6","1","1","1","1","1","0","1606595","LINESTRING (-122.406652352008 37.796024750166, -122.406827677878 37.796901905855)"
"13118000","Vallejo St","Pierce St  -  Scott St","R","North","Fri 1st & 3rd","Fri","12","14","1","0","1","0","0","0","1613538","LINESTRING (-122.438402484851 37.794806973229, -122.440045217168 37.794597761093)"
"10676000","Powell St","Ellis St  -  O'Farrell St","R","East","Monday","Mon","2","6","1","1","1","1","1","0","1619821","LINESTRING (-122.407852519844 37.785491560352, -122.40803623664 37.78640961353)"
"1054000","20th St","South Van Ness Ave  -  Capp St","L","South","Monday","Mon","6","8","1","1","1","1","1","0","1622987","LINESTRING (-122.416872481818 37.758764228709, -122.417964704907 37.758698272454)"
"4168000","Clement St","18th Ave  -  19th Ave","R","North","Mon 1st & 3rd","Mon","7","9","1","0","1","0","0","0","1642858","LINESTRING (-122.477374310962 37.782360569066, -122.478443506952 37.782308379879)"
"6065101","Geary Blvd","09th Ave  -  10th Ave","L","South","Mon 1st, 3rd, 5th","Mon","7","8","1","0","1","0","1","0","1611473","LINESTRING (-122.467487652492 37.780879714821, -122.467604185488 37.78080251661, -122.468427936423 37.780763681225, -122.46856387213 37.780822032344)"
"9848000","Ocean Ave","Woodacre Dr  -  Lagunitas Dr","L","SouthWest","Wed 1st & 3rd","Wed","7","8","1","0","1","0","0","0","1603513","LINESTRING (-122.473203023279 37.731669273699, -122.474206346815 37.73211999882)"
"6437201","Great Hwy","Sloat Blvd  -  Skyline Blvd","L","East","Sunday","Sun","5","7","1","1","1","1","1","0","1613579","LINESTRING (-122.506717428299 37.735469757819, -122.506822941268 37.735316192961, -122.506820119915 37.734894173849, -122.507194700566 37.733046359172, -122.507209111143 37.732627456963, -122.507150576142 37.732206386809, -122.506997327224 37.731453359897, -122.506867103394 37.730917788032, -122.506802541013 37.730432153083, -122.506697324742 37.729552367493, -122.506536522265 37.72836039293, -122.506464573107 37.727919131754, -122.506292884584 37.727435320512, -122.505970021997 37.726909826881, -122.505617550619 37.7265584358, -122.505319640444 37.72632184514, -122.504763047215 37.726031787053, -122.503612919831 37.725353584745, -122.503288601223 37.725250176351, -122.503127839642 37.725218258035, -122.503040636347 37.725259549916)"
"7280000","Irving St","03rd Ave  -  04th Ave","R","North","Wed 2nd & 4th","Wed","7","8","0","1","0","1","0","0","1638369","LINESTRING (-122.459887554573 37.764318833027, -122.460957705141 37.764271899209)"
"8742101","Market St","Bush St  -  02nd St","L","SouthEast","Tuesday","Tues","5","6","1","1","1","1","1","0","1640768","LINESTRING (-122.399148598539 37.791016649255, -122.399172342049 37.790933787172, -122.401272054966 37.7892832712, -122.401375491232 37.789264322323)"
"5564000","Fillmore St","Pixley St  -  Greenwich St","R","East","Fri 2nd & 4th","Fri","6","8","0","1","0","1","0","0","1620665","LINESTRING (-122.435772408102 37.798487191944, -122.435866319946 37.79895184968)"
"3632000","Cameron Way","Griffith St  -  Nichols Way","L","SouthWest","Wednesday","Wed","12","14","1","1","1","1","1","0","1629492","LINESTRING (-122.385609011511 37.72005454747, -122.385692224993 37.720159793865, -122.386243137807 37.720357025659)"
"6469000","Green St","Franklin St  -  Gough St","L","South","Tue 1st & 3rd","Tues","8","10","1","0","1","0","0","0","1606693","LINESTRING (-122.425436866049 37.797408351084, -122.427080193462 37.797200169025)"
